Score,Response
2.00,Open space is a place for me to move.
1.00,
1.00,
1.00,
1.00,
1.00,
1.00,I don't know.
1.00,I don't know.
1.00,I don't know.
1.00,What?
3.00,The player with the ball moves away from defensive players.
2.00,The player with the ball passes it to a teammate.
3.00,The player with the ball passes it to a teammate. The player with the ball moves away from defensive players.
1.00,Sounds hard
4.00,Spread out and cut/pass quickly.
3.00,Spread out
3.00,Cut/pass quickly
3.00,Spread out
3.00,Cut/pass quickly
2.00,Uses a variety of shots.
3.00,Give/go quickly
3.00,Varies the speed of the shot
3.00,Varies the trajectory of the shot
3.00,Varies speed and trajectory of the shot
2.00,Closes up space
2.00,Move toward the ball
3.00,Uses fakes off the ball
3.00,Cuts and passes quickly and uses fakes off the ball
4.00,Stays spread out and uses fakes off the ball
5.00,"Uses fakes off the ball, stays spread out, and cuts/passes quickly."
5.00,"Stays spread out, cuts/passes quickly, and uses fakes off the ball"
5.00,"Cuts/passes quickly, stays spread out, and uses fakes off the ball"
5.00,"Stays spread out, cuts/passes quickly, and uses fakes off the ball."
6.00,"Stays spread out, cuts/passes quickly, uses fakes off the ball, and uses pivots."
6.00,"Stays spread out, cuts/passes quickly, varies direction, and uses pivots."
6.00,"Stays spread out, cuts/passes quickly, varies passes and uses fakes off the ball"
6.00,"Spread out, cuts/passes quickly, varies direction, and uses pivots."
6.00,"Stays spread out, cuts/passes quickly, uses variety of passes, and variety of pathways."
6.00,"Stays spread out, cuts/passes quickly, varies speed, and varies direction."
6.00,"Stays spread out, cuts/passes quickly, varies direction, and uses pivots."
6.00,"Stays spread out, cuts/passes quickly, variety of passes, and uses pivots."
5.00,"Spread out, give and go, vary direction"
5.00,"Spread out, give and go, vary speed"
5.00,"Spread out, give and go, vary passes"
5.00,"Run down side lines, fake, vary speed"
5.00,"Run down side lines, fake, vary passes"
5.00,"Stays spread out, cuts/passes quickly, varies direction."
5.00,"Stays spread out, cuts/passes quickly, variety of passes."
5.00,"Stays spread out, cuts/passes quickly, and uses pivots."
5.00,"Stays spread out, cuts/passes quickly, and varies speed"
5.00,"Stays spread out, cuts/passes quickly, and uses fakes off the ball"
3.00,Creates open space using locomotor movements in combination with movement qualities.
3.00,Uses width and length of area.
2.00,Wave arms in big circles.
3.00,Move from side to side while keeping a wide stance.
3.00,Run down side lines. 
3.00,Wave arms in big circles and move from side to side while keeping a wide stance.
3.00,Run down side lines and wave arms in big circles.
3.00,Run down side lines and move from side to side while keeping a wide stance.
